"codine","CA","CP","src_indx"
8063,9,8,2877
8064,9,8,4889
8065,9,8,4413
8066,9,8,4488
8067,9,8,5984
8068,9,8,6105
8069,9,8,5517
8070,9,8,2052
8071,9,8,1979
8072,9,8,6399
8073,9,8,6881
8074,9,8,6400
8075,9,8,5682
8076,9,8,6598
8077,9,8,6806
8078,9,8,1570
8079,9,8,2252
8080,9,8,7006
8081,9,8,2464
8082,9,8,4315
8083,9,8,4791
8084,9,8,4235
8085,9,8,4236
8086,9,8,6535
8087,9,8,1133
8088,9,8,6436
8089,9,8,6805
8090,9,8,782
8091,9,8,5952
8092,9,8,5656
8093,9,8,7137
8094,9,8,4673
8095,9,8,6983
8096,9,8,6830
8097,9,8,4177
8098,9,8,5194
8099,9,8,3711
8100,9,8,4978
8101,9,8,6940
8102,9,8,6775
8103,9,8,3446
8104,9,8,3588
8105,9,8,6369
8106,9,8,6157
8107,9,8,6410
8108,9,8,5878
8109,9,8,1541
8110,9,8,6525
8111,9,8,1597
8112,9,8,6568
8113,9,8,6862
8114,9,8,6680
8115,9,8,5627
8116,9,8,3346
8117,9,8,5203
8118,9,8,6607
8119,9,8,6081
8120,9,8,6111
8121,9,8,6904
8122,9,8,4859
8123,9,8,6651
8124,9,8,6816
8125,9,8,6746
8126,9,8,6248
8127,9,8,5140
8128,9,8,3167
8129,9,8,2947
8130,9,8,213
8131,9,8,3586
8132,9,8,2569
8133,9,8,1017
8134,9,8,3878
8135,9,8,6125
8136,9,8,6454
8137,9,8,1806
8138,9,8,5784
8139,9,8,1333
8140,9,8,5816
8141,9,8,5848
8142,9,8,663
8143,9,8,5336
8144,9,8,3548
8145,9,8,5334
8146,9,8,4478
8147,9,8,6639
8148,9,8,5347
8149,9,8,3982
8150,9,8,1819
8151,9,8,2868
8152,9,8,707
8153,9,8,3103
8154,9,8,3514
8155,9,8,6135
8156,9,8,6402
8157,9,8,6277
8158,9,8,5446
8159,9,8,6519
8160,9,8,2298
8161,9,8,6426
8162,9,8,5103
8163,9,8,6661
8164,9,8,3974
8165,9,8,4810
8166,9,8,4039
8167,9,8,6061
8168,9,8,2791
8169,9,8,6838
8170,9,8,2773
8171,9,8,5002
8172,9,8,6682
8174,9,8,2768
8175,9,8,5519
8176,9,8,1168
8178,9,8,2801
8179,9,8,3297
8180,9,8,6764
8181,9,8,6220
8182,9,8,5384
8183,9,8,5852
8184,9,8,6859
8185,9,8,1364
8187,9,8,6930
8188,9,8,563
8189,9,8,770
8190,9,8,1892
8191,9,8,5924
8192,9,8,5963
8193,9,8,4098
8194,9,8,6741
8196,9,8,6677
8197,9,8,6229
8198,9,8,5770
8199,9,8,3581
8200,9,8,6874
8201,9,8,2805
8202,9,8,6478
8203,9,8,5266
8204,9,8,5421
8205,9,8,6880
8206,9,8,3713
8207,9,8,4962
8208,9,8,6000
8209,9,8,6091
8210,9,8,5824
8211,9,8,6798
8212,9,8,3120
8213,9,8,6070
8214,9,8,6126
8215,9,8,5344
8217,9,8,6733
8218,9,8,6247
8219,9,8,6560
8220,9,8,5151
8221,9,8,6441
8222,9,8,4955
8223,9,8,4893
8224,9,8,3862
8225,9,8,97
8226,9,8,3958
8227,9,8,5221
8228,9,8,2211
8229,9,8,3059
8230,9,8,6217
8231,9,8,6696
8232,9,8,4854
8233,9,8,4910
8234,9,8,5518
8235,9,8,5665
8236,9,8,4727
8237,9,8,4770
8238,9,8,6540
8239,9,8,3078
8240,9,8,6332
8242,9,8,1887
8243,9,8,915
8244,9,8,6051
8245,9,8,6901
8246,9,8,4811
8247,9,8,3981
8248,9,8,5941
8249,9,8,2216
8250,9,8,6180
8251,9,8,5954
8252,9,8,6727
8253,9,8,683
8254,9,8,4761
8255,9,8,849
8256,9,8,3518
8257,9,8,421
8258,9,8,3791
8259,9,8,6143
8260,9,8,6659
8261,9,8,5263
8262,9,8,6149
8263,9,8,6683
8264,9,8,5800
8265,9,8,4671
8266,9,8,6827
8267,9,8,6096
8268,9,8,4108
8269,9,8,5288
8270,9,8,6684
8272,9,8,939
8273,9,8,5165
8274,9,8,5863
8275,9,8,1879
8276,9,8,1908
8277,9,8,676
8278,9,8,5856
8279,9,8,6932
8280,9,8,497
8281,9,8,5844
8282,9,8,6064
8283,9,8,6058
8284,9,8,6458
8285,9,8,6380
8286,9,8,5410
8287,9,8,4186
8288,9,8,4881
8289,9,8,5777
8290,9,8,4636
8291,9,8,5865
8292,9,8,4221
8293,9,8,1666
8294,9,8,4987
8295,9,8,6408
8296,9,8,4921
8297,9,8,806
8298,9,8,6783
8299,9,8,2635
8300,9,8,5995
8301,9,8,6840
8302,9,8,6336
8303,9,8,1943
8304,9,8,3877
8305,9,8,6773
8306,9,8,3203
8307,9,8,6844
8308,9,8,901
8901,9,8,1854
8902,9,8,5662
8903,9,8,1557
8904,9,8,6370
8905,9,8,5145
9001,7,9,6982
9003,7,9,1408
9009,7,9,1250
9012,7,9,176
9014,7,9,1072
9016,7,9,15
9017,7,9,457
9018,7,9,6735
9019,7,9,885
9020,7,9,2161
9023,7,9,4189
9024,7,9,1023
9025,7,9,739
9026,7,9,2412
9029,7,9,1203
9030,7,9,654
9032,7,9,289
9033,7,9,175
9034,7,9,2019
9035,7,9,2197
9037,7,9,298
9038,7,9,620
9043,7,9,1262
9045,7,9,1896
9048,7,9,4693
9051,7,9,1060
9054,7,9,100
9055,7,9,7092
9056,7,9,6010
9057,7,9,1005
9058,7,9,2652
9059,7,9,6921
9060,7,9,1014
9061,7,9,1143
9063,7,9,1600
9064,7,9,2663
9065,7,9,918
9067,7,9,2823
9072,7,9,2132
9073,7,9,3973
9074,7,9,3681
9075,7,9,579
9083,7,9,7032
9084,7,9,1245
9085,7,9,3069
9086,7,9,3381
9091,7,9,3500
9093,7,9,1068
9095,7,9,6961
9098,7,9,3010
9100,7,9,7132
9103,7,9,1608
9105,7,9,159
9108,7,9,2639
9109,7,9,4272
9112,7,9,350
9113,7,9,3046
9114,7,9,30
9115,7,9,46
9117,7,9,24
9124,7,9,4625
9125,7,9,3201
9127,7,9,6986
9128,7,9,52
9129,7,9,444
9131,7,9,2814
9132,7,9,1021
9134,7,9,1645
9136,7,9,1429
9137,7,9,1391
9139,7,9,73
9140,7,9,628
9141,7,9,3277
9148,7,9,264
9151,7,9,3013
9152,7,9,2163
9154,7,9,917
9155,7,9,7008
9160,7,9,161
9162,7,9,464
9163,7,9,3342
9164,7,9,1321
9166,7,9,92
9168,7,9,2224
9169,7,9,62
9170,7,9,1421
9172,7,9,404
9173,7,9,463
9174,7,9,3815
9175,7,9,509
9176,7,9,7140
9177,7,9,4251
9180,7,9,514
9181,7,9,2113
9182,7,9,65
9189,7,9,653
9190,7,9,77
9194,7,9,5043
9196,7,9,845
9197,7,9,996
9198,7,9,549
9199,7,9,69
9208,7,9,1794
9209,7,9,5858
9211,7,9,4517
9213,7,9,2334
9214,7,9,3462
9215,7,9,2553
9216,7,9,2455
9217,7,9,2420
9218,7,9,2680
9219,7,9,6771
9221,7,9,2943
9224,7,9,1073
9227,7,9,837
9228,7,9,1077
9229,7,9,1398
9232,7,9,1149
9235,7,9,1039
9238,7,9,3942
9241,7,9,1389
9246,7,9,3379
9250,7,9,2115
9251,7,9,2685
9253,7,9,278
9256,7,9,2529
9258,7,9,878
9259,7,9,1588
9261,7,9,2888
9262,7,9,714
9267,7,9,513
9268,7,9,386
9270,7,9,1059
9272,7,9,2146
9273,7,9,7031
9274,7,9,4182
9275,7,9,986
9276,7,9,2751
9277,7,9,427
9279,7,9,1516
9281,7,9,925
9287,7,9,1550
9288,7,9,209
9289,7,9,4617
9294,7,9,557
9295,7,9,7131
9297,7,9,2268
9298,7,9,44
9301,7,9,3366
9302,7,9,248
9304,7,9,1307
9306,7,9,451
9307,7,9,356
9309,7,9,2235
9310,7,9,7000
9312,7,9,349
9314,7,9,169
9315,7,9,2641
9321,7,9,4913
9323,7,9,7127
9325,7,9,1355
9326,7,9,953
9329,7,9,450
9330,7,9,4741
9332,7,9,900
9337,7,9,678
9338,7,9,1837
9339,7,9,684
9343,7,9,61
9345,7,9,820
9347,7,9,713
9348,7,9,454
9350,7,9,3015
9352,7,9,480
9358,7,9,1865
9361,7,9,508
9362,7,9,1641
9363,7,9,3916
9365,7,9,7077
9366,7,9,7156
9369,7,9,2790
9372,7,9,1688
9373,7,9,2717
9374,7,9,194
9377,7,9,3459
9380,7,9,23
9384,7,9,2141
9387,7,9,478
9388,7,9,7130
9390,7,9,3256
9391,7,9,2698
9392,7,9,7052
9394,7,9,3680
9395,7,9,844
9396,7,9,717
9400,7,9,2244
9405,7,9,635
9406,7,9,1876
9407,7,9,7066
9409,7,9,665
9410,7,9,5416
9411,7,9,874
9412,7,9,3710
9413,7,9,2835
9414,7,9,1123
9415,7,9,2054
9421,7,9,1724
9423,7,9,7089
9425,7,9,3084
9427,7,9,4444
9428,7,9,361
9431,7,9,415
9432,7,9,1331
9434,7,9,4425
9437,7,9,2061
9438,7,9,3151
9439,7,9,3968
9440,7,9,45
9442,7,9,2429
9443,7,9,1295
9448,7,9,1507
9449,7,9,166
9451,7,9,1814
9454,7,9,7080
9456,7,9,598
9458,7,9,2880
9460,7,9,1213
9463,7,9,1621
9466,7,9,602
9467,7,9,7018
9471,7,9,1253
9473,7,9,3
9480,7,9,202
9483,7,9,1540
9901,7,9,2688
9902,7,9,2720
9903,7,9,5575
9904,7,9,2950
9905,7,9,2595
9906,7,9,4228
9907,7,9,4619
9908,7,9,2886
10001,11,10,1952
10002,11,10,2476
10003,11,10,3109
10004,11,10,3470
10005,11,10,3053
10006,11,10,4237
10007,11,10,3340
10008,11,10,4377
10009,11,10,1568
10010,11,10,5112
10011,11,10,3202
10012,11,10,3193
10013,11,10,2003
10014,11,10,4779
10015,11,10,3364
