id,Y,M,O,Total
10019_AM,837,2970,1661,5468
10020_AM,713,2688,1579,4980
10021,1062,3614,1580,6256
10035_AM,1004,3094,1396,5494
1003701,6042,13750,5071,24863
1003702,3616,7943,2900,14459
1003703,1537,3503,1361,6401
1003704,6790,16050,7005,29845
1003705,1757,4004,1556,7317
1003706_AD,2132,4871,1875,8878
10049_AM,1219,4117,1991,7327
10050_AM,696,2830,1869,5395
10061_AM,1129,3517,2237,6883
10064_AM,1169,3552,1860,6581
10067,1956,7913,2975,12844
10087_AM,974,2775,1741,5490
10089_AM,850,2752,2036,5638
10096_AM,911,2843,1627,5381
10104,454,3569,2573,6596
10105_AM,978,2819,1722,5519
10109_AM,1163,3635,1887,6685
10110_AM,1251,4068,2567,7886
10113_AM,778,2819,1909,5506
10115,491,2134,1962,4587
10116_AM,885,2654,1965,5504
10121,1942,5239,3217,10398
10127,813,2988,2200,6001
10128,806,3562,2788,7156
10131,1669,8184,7438,17291
10140_AM,1271,3893,1833,6997
10146_AM,825,2686,1522,5033
10147_AM,970,3095,1773,5838
10148,7503,16112,15379,38994
10175_AM,1321,4272,2492,8085
10177_AM,1547,4550,2194,8291
10180_AM,1509,5025,3158,9692
10184_AM,955,3024,1463,5442
10186_AM,919,3018,1729,5666
10189_AM,1037,3133,2018,6188
10195_AM,1599,5503,2945,10047
10203,1256,3557,861,5674
10205_AM,919,2947,1606,5472
10212_AM,1018,2950,2022,5990
10216_AM,849,2835,1638,5322
11001,837,2847,1733,5417
11002_AM,755,4378,3450,8583
1100401,3734,16355,13264,33353
1100402,3338,14620,11857,29815
1100403,2408,10530,8533,21471
1100404,3933,17226,13971,35130
11005_AM,1989,4298,1443,7730
11006,682,15972,15684,32338
11007,4345,12933,6637,23915
11008,5813,13097,4467,23377
11010_AM,2178,6405,3739,12322
11011_AM,1031,2831,1797,5659
1101201,1226,2965,1605,5796
1101202,1156,2797,1514,5467
1101203,1162,2810,1521,5493
1101204,896,2168,1173,4237
1101205,903,2185,1183,4271
1101206_AD,1700,4112,2226,8038
1101208,5486,13266,7181,25933
1101209,5034,12173,6590,23797
1101210,5748,13918,7561,27227
11014,4162,12121,7317,23600
1101501,1901,6746,6780,15427
1101502,1104,4027,4134,9265
1101503,1153,4204,4316,9673
1101504,3027,11035,11328,25390
1101505,3421,12450,12712,28583
11016,3211,9477,8347,21035
1102001,1025,2870,987,4882
1102002,5940,16632,5724,28296
1102003,4397,12313,4237,20947
1102004,4950,13860,4770,23580
1102005,2643,7402,2547,12592
1102006,14302,40046,13782,68130
1102007,5953,16668,5736,28357
1102008_AD,1374,4025,1650,7049
1102009,3930,11066,3662,18658
11021_AM,1704,6368,5109,13181
1102201,1365,4189,2575,8129
1102202,1630,5001,3075,9706
1102203,2838,8710,5355,16903
1102204,1171,3594,2209,6974
1102205,1275,3913,2406,7594
1102206,1203,3692,2270,7165
1102207,1027,3153,1938,6118
11023,2023,7686,2565,12274
11024_AM,1448,5175,2706,9329
11025,866,2817,1992,5675
11026_AM,1345,4403,1815,7563
1102701,8258,22669,12306,43233
1102702,3282,9011,4891,17184
1102703,4590,12618,6842,24050
1102704,945,2610,1446,5001
11028,4938,17712,17910,40560
11029,808,4485,1832,7125
11030,4415,17158,8295,29868
1103101,3075,9635,8667,21377
1103102_AD,1349,4226,3800,9375
1103104,1120,3508,3154,7782
1103105,1470,4606,4141,10217
1103106,6363,19838,17727,43928
1103201,4110,16330,7485,27925
1103202,1236,4713,2401,8350
1103203_AD,1522,6050,2771,10343
1103205,3075,12236,5649,20960
11033,3232,15999,11297,30528
11035,4464,10018,4092,18574
11037,508,2857,3727,7092
11038,3219,8881,4642,16742
11039,3285,8390,2413,14088
11041,2838,7373,2912,13123
11901,1507,4387,1399,7293
11902_AM,734,3354,2121,6209
12004,1056,4210,1624,6890
12005,1991,4555,4260,10806
12009,5692,13765,6522,25979
12011_AM,1889,4282,1201,7372
12012_AM,920,3176,2442,6538
12016_AM,831,2880,1784,5495
12021,1079,3566,1469,6114
12027,5400,14648,7282,27330
12028,2137,8275,8822,19234
12031_AM,1601,4892,2716,9209
12032,3959,19497,10918,34374
12033_AM,864,2923,1795,5582
1204001_AD,1660,6593,4743,12996
1204003,2109,8377,6027,16513
1204004,3887,15438,11106,30431
1204005,2280,8951,6379,17610
1204006,3749,14401,10174,28324
1204007,3057,11988,8685,23730
1204008,2074,8225,5909,16208
1204009,2444,9530,6802,18776
12050_AM,832,2806,1529,5167
12072_AM,936,3114,1986,6036
12077_AM,1404,5736,2449,9589
12080_AM,820,2844,1791,5455
12082_AM,2801,9105,4997,16903
12084,2054,10661,12105,24820
12085,2368,6604,3970,12942
12089,1373,4147,2247,7767
12100_AM,1317,3561,1411,6289
12104,2152,5468,1988,9608
12106_AM,937,3038,1745,5720
12117,768,2761,2044,5573
12121_AM,1041,2876,1627,5544
12124_AM,938,3395,1939,6272
12126,4610,17137,10717,32464
12129_AM,1074,3174,1988,6236
1213501,626,2938,1698,5262
1213502,3102,13840,7925,24867
1213503,1134,5195,3003,9332
1213504,1197,5574,3206,9977
12138,6346,17525,4450,28321
12140_AM,876,2852,1698,5426
12901,539,2610,1409,4558
13005,5703,19405,7404,32512
13011,849,3022,1682,5553
13013_AM,1587,5255,5917,12759
13015,523,2786,3385,6694
13019,652,3754,2970,7376
13020_AM,1248,3987,1436,6671
13023,1539,7521,3539,12599
13027_AM,1669,4390,2030,8089
13028_AM,1251,7239,6653,15143
13031_AM,1521,4581,1914,8016
1303401_AD,2318,8625,5672,16615
1303402,3913,14414,9450,27777
1303403,1091,4021,2636,7748
1303404,2466,9085,5956,17507
13038_AM,835,2769,1600,5204
13039,2115,11576,4747,18438
13042_AM,972,2682,1054,4708
13044_AM,633,2557,1301,4491
13047,1449,5083,2972,9504
13052,1127,4564,3231,8922
13053_AM,2200,9664,7103,18967
13054,1078,3405,1833,6316
13056,1812,8757,5033,15602
